898,662,1560
616,24,640
955,816,1771
777,747,1524
22,850,872
668,720,1388
745,877,1622
888,143,1031
668,650,1318
432,910,1342
139,20,159
90,476,566
886,187,1073
573,414,987
512,326,838
810,656,1466
450,159,609
10,441,451
763,512,1275
655,804,1459
460,790,1250
101,143,244
915,351,1266
450,930,1380
545,957,1502
425,805,1230
24,705,729
369,576,945
286,699,985
141,361,502
496,671,1167
437,334,771
500,891,1391
261,938,1199
28,202,230
492,603,1095
102,125,227
211,700,911
111,126,237
489,986,1475
144,745,889
29,132,161
762,117,879
570,531,1101
294,548,842
739,109,848
608,280,888
515,781,1296
210,156,366
604,31,635
466,443,909
247,873,1120
779,760,1539
506,243,749
435,843,1278
417,644,1061
287,825,1112
405,760,1165
181,526,707
204,584,788
168,848,1016
899,66,965
202,674,876
21,824,845
953,955,1908
889,329,1218
711,533,1244
630,744,1374
128,74,202
830,126,956
39,459,498
817,412,1229
679,520,1199
652,103,755
233,104,337
468,370,838
695,12,707
835,36,871
623,398,1021
991,818,1809
955,765,1720
775,328,1103
863,413,1276
645,419,1064
476,477,953
710,715,1425
658,246,904
266,105,371
927,556,1483
591,94,685
297,435,732
45,367,412
688,703,1391
991,916,1907
873,220,1093
992,498,1490
766,906,1672
313,659,972
354,486,840
272,710,982
318,20,338
838,96,934
857,796,1653
946,350,1296
456,1,457
676,832,1508
296,450,746
857,762,1619
754,982,1736
315,7,322
281,332,613
173,570,743
608,432,1040
444,172,616
445,94,539
419,310,729
888,635,1523
538,154,692
442,923,1365
539,826,1365
33,250,283
390,665,1055
845,94,939
384,177,561
385,407,792
816,592,1408
619,296,915
454,605,1059
638,312,950
891,853,1744
448,147,595
169,296,465
730,536,1266
101,601,702
761,691,1452
309,488,797
818,409,1227
749,482,1231
463,438,901
213,243,456
108,994,1102
902,890,1792
737,176,913
28,686,714
383,521,904
449,325,774
735,562,1297
699,176,875
93,325,418
244,562,806
249,188,437
87,121,208
914,321,1235
898,782,1680
726,389,1115
79,242,321
262,368,630
542,325,867
98,810,908
348,399,747
93,700,793
354,491,845
626,730,1356
822,556,1378
591,909,1500
397,45,442
131,668,799
703,642,1345
83,209,292
141,525,666
782,256,1038
24,796,820
531,883,1414
700,510,1210
852,29,881
830,649,1479
79,124,203
480,230,710
366,642,1008
683,435,1118
222,928,1150
936,635,1571
730,873,1603
103,757,860
937,903,1840
170,748,918
319,217,536
689,254,943
629,884,1513
452,448,900
520,517,1037
106,731,837
709,734,1443
228,189,417
886,470,1356
324,899,1223
410,900,1310
159,553,712
180,901,1081
350,408,758
219,809,1028
509,917,1426
583,137,720
871,741,1612
92,824,916
853,329,1182
582,251,833
30,212,242
273,296,569
176,477,653
390,122,512
91,1,92
466,319,785
707,197,904
851,370,1221
248,633,881
347,174,521
349,750,1099
142,828,970
376,461,837
488,877,1365
155,662,817
25,872,897
756,518,1274
476,992,1468
403,937,1340
813,760,1573
913,644,1557
212,736,948
19,544,563
279,348,627
288,786,1074
791,191,982
479,889,1368
522,401,923
888,328,1216
715,2,717
25,99,124
535,422,957
227,440,667
665,448,1113
500,87,587
343,398,741
325,616,941
401,527,928
400,98,498
188,144,332
986,442,1428
753,810,1563
222,758,980
419,193,612
162,139,301
921,212,1133
108,160,268
975,817,1792
2,891,893
510,623,1133
994,887,1881
787,370,1157
834,56,890
158,565,723
605,914,1519
185,130,315
83,216,299
724,298,1022
426,215,641
637,738,1375
206,645,851
357,555,912
799,597,1396
816,190,1006
558,744,1302
283,698,981
20,60,80
610,69,679
573,737,1310
137,676,813
827,186,1013
654,315,969
547,914,1461
727,562,1289
537,49,586
910,235,1145
644,659,1303
323,513,836
971,444,1415
509,879,1388
565,901,1466
862,122,984
688,793,1481
183,913,1096
109,808,917
512,800,1312
417,991,1408
56,722,778
421,795,1216
612,962,1574
725,243,968
494,148,642
77,355,432
661,431,1092
510,309,819
78,695,773
558,217,775
12,114,126
279,998,1277
555,46,601
410,470,880
602,367,969
807,596,1403
727,130,857
753,751,1504
886,421,1307
726,433,1159
330,938,1268
834,961,1795
511,873,1384
335,596,931
804,164,968
220,769,989
979,943,1922
364,259,623
474,223,697
159,90,249
168,854,1022
865,749,1614
979,909,1888
683,303,986
792,962,1754
101,958,1059
686,522,1208
296,139,435
477,668,1145
302,778,1080
744,251,995
846,490,1336
623,903,1526
552,329,881
846,660,1506
487,907,1394
913,544,1457
191,423,614
426,352,778
884,495,1379
691,641,1332
187,998,1185
323,25,348
846,326,1172
434,449,883
971,452,1423
248,119,367
60,241,301
781,703,1484
489,922,1411
10,17,27
214,884,1098
923,612,1535
942,480,1422
598,618,1216
591,332,923
472,193,665
762,596,1358
587,72,659
942,241,1183
592,988,1580
635,689,1324
129,746,875
599,12,611
518,558,1076
275,922,1197
118,913,1031
673,485,1158
844,34,878
605,903,1508
336,690,1026
434,180,614
246,508,754
313,909,1222
120,271,391
660,800,1460
83,261,344
36,28,64
